GroupAddressId,RawAddress,Name,DatapointType,GroupRangeId,GroupRangeName,Attributes
P-07BC-0_GA-988,2529,D57 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-988"", ""Address"": ""2529"", ""Name"": ""D57 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1017""}"
P-07BC-0_GA-989,2530,D57 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-989"", ""Address"": ""2530"", ""Name"": ""D57 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1018""}"
P-07BC-0_GA-990,2531,D57 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-990"", ""Address"": ""2531"", ""Name"": ""D57 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1019""}"
P-07BC-0_GA-991,2532,D57 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-991"", ""Address"": ""2532"", ""Name"": ""D57 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1020""}"
P-07BC-0_GA-992,2533,D58 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-992"", ""Address"": ""2533"", ""Name"": ""D58 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1021""}"
P-07BC-0_GA-993,2534,D58 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-993"", ""Address"": ""2534"", ""Name"": ""D58 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1022""}"
P-07BC-0_GA-994,2535,D58 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-994"", ""Address"": ""2535"", ""Name"": ""D58 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1023""}"
P-07BC-0_GA-995,2536,D58 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-995"", ""Address"": ""2536"", ""Name"": ""D58 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1024""}"
P-07BC-0_GA-996,2537,D59 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-996"", ""Address"": ""2537"", ""Name"": ""D59 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1025""}"
P-07BC-0_GA-997,2538,D59 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-997"", ""Address"": ""2538"", ""Name"": ""D59 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1026""}"
